name,popularity
Prabhas,1.4
Rana Daggubati,1.325
Sathyaraj,0.6
Anushka Shetty,0.911
Nassar,1.4
Ramya Krishnan,1.74
Subbaraju,0.6
Tamanna Bhatia,3.81
Prudhviraj,1.159
Rohini,0.6
Ashrita Vemuganti,0.6
Tanikella Bharani,1.22
Bharani Shankar,0.98
Kalpalatha,0.6
Sunny Deol,1.128
Ameesha Patel,0.728
Amrish Puri,2.709
Lillete Dubey,1.664
Vivek Shauq,0.84
Utkarsh Sharma,0.6
Suresh Oberoi,0.6
Madhu Malti,0.6
Tony Mirrcandani,1.4
Mushtaq Khan,0.6
Madhumalti Kapoor,0.6
Shah Rukh Khan,8.004
Kajol,2.215
Anupam Kher,4.096
Satish Shah,1.225
Farida Jalal,1.4
Achala Sachdev,0.98
Himani Shivpuri,1.754
Pooja Ruparel,0.785
Mandira Bedi,1.545
Uday Chopra,1.4
Parmeet Sethi,0.98
Hemlata Deepak,0.6
Lalit Tiwari,0.6
Baby Raashi,0.6
Baby Nupur,0.6
Shanker Iyer,0.6
Rajesh Bhatija,0.6
Govind Khatri,0.6
Mansoor Merchant,0.6
Mohit Kumar,0.6
Damyanti Puri,0.6
Surendra Rahi,0.6
Aamir Khan,1.618
Karisma Kapoor,2.078
Johnny Lever,2.16
Archana Puran Singh,0.668
Navneet Nishan,0.6
Kunal Khemu,1.012
Mohnish Behl,0.6
Rajwinder Deol,0.6
Pramod Moutho,1.018
Tiku Talsania,0.84
Fatima Sana Shaikh,1.62
Sanya Malhotra,1.015
Sakshi Tanwar,0.6
Aparshakti Khurana,1.052
Zaira Wasim,0.6
Suhani Bhatnagar,0.98
Girish Kulkarni,0.6
Vivan Bhatena,1.4
Ritwik Sahore,0.6
Ravi Aneja,0.6
Anurag Arora,0.6
Mahesh Balraj,0.6
Anmol Charan,0.6
Karamveer Choudhary,0.6
Ishika Gagneja,0.6
Badrul Islam,0.6
Jagbir,0.6
Olamilekan Akanbi Jason,0.6
Sumit Khanna,0.6
Meenu Prajapati,0.6
Ansh Rathore,0.6
Shishir Sharma,1.4
Gurpreet Toti,0.6
Jackie Shroff,1.512
Sunil Shetty,2.061
