name,popularity
Rishi,0.6
Anant Nag,0.989
Achyuth Kumar,0.6
Roshni Prakash,0.6
Suman Ranganathan,1.4
Sidhaartha Maadhyamika,0.828
Sampath Maitreya,1.4
Siri Ravikumar,0.6
Viraat,0.6
Sree Leela,0.6
Sadhu Kokila,0.84
Chikkanna,0.84
Rishab Shetty,0.6
Hariprriya,0.6
Pramod Shetty,0.6
Sujay Shastri,0.6
Dinesh Mangalore,0.6
Darshan Thoogudeepa,0.833
Sanah Thimmayyah,0.6
Ashwini Gowda,0.6
Chithra Shenoy,0.6
Devaraj,0.98
Malathishri,0.6
P. Ravi Shankar,0.6
Pankaj Narayan,0.6
Sharath Lohitashwa,0.98
Yashas Surya,0.6
Ganesh,0.6
Prayaga Martin,0.703
Shanvi Shrivastava,0.6
Parvathy Arun,1.566
Sudharani,1.686
Rakshit Shetty,1.22
Balaji Manohar,0.6
Madhusudhan Rao,0.733
Raaghu Raamanakoppa,1.094
Amala Paul,0.944
Charan Tej,0.6
Andrea Jeremiah,1.051
Mukhtar Khan,0.6
Surya Bhagawan Das,0.84
Sudeep,1.46
Aakanksha Singh,1.4
Sunil Shetty,2.483
Kabir Duhan Singh,0.728
Sushant Singh,2.229
Avinash,1.008
Puneeth Rajkumar,0.98
B. Saroja Devi,1.388
Anupama Parameswaran,2.824
Rachita Ram,1.052
Prakash Belawadi,0.6
Ramesh Aravind,1.4
Yuvina Parthavi,0.6
Juhi Chawla,1.423
Ravi Kale,1.38
Rockline Sudhakar,0.6
K.S. Sridhar,0.6
Mandeep Roy,0.6
Shivaraj Kumar,1.172
Aindrita Ray,0.6
Bullet Prakash,1.38
Tabla Nani,0.6
Girija Lokesh,0.98
Honnavalli Krishna,0.6
Shivaram,0.6
Biradar,0.6
Umesh,0.6
Saurav Lokesh,0.6
Rukmini Vijayakumar,0.98
Sharan,0.98
Heeba Patel,1.4
Asmita Sood,1.128
Ramesh Bhat,0.6
Malavika Avinash,0.6
Vishnuvardhan,0.98
Dwarakish,0.6
Prema,0.6
Soundarya,0.884
Satyajith,0.6
Daisy Bopanna,0.634
Diganth Manchale,0.6
Rajesh Krishnan,0.6
Padmaja Rao,0.6
Rangayana Raghu,0.6
Sudha Belawadi,0.6
Bhavana Rao,0.6
Pooja Gandhi,0.6
Sumit Kaur Atwal,0.6
Nithya Menen,0.817
Sathish Ninasam,0.6
Sruthi Hariharan,0.6
Hardika Shetty,0.6
Poornachandra Mysore,0.6
Lalipalya Mahadev,0.6
Narayan Bhat,0.6
Prashanth Siddi,0.98
Chethan Kumar,0.6
R. Sarathkumar,1.301
Arun Sagar,0.6
Jai Jagadish,0.6
Sumithra,0.766
Ajay,0.611
Raju Talikote,0.98
Ravi Varma,0.648
Parvathy Thiruvothu,1.734
Dileep Raj,0.6
Mukhyamantri Chandru,0.6
Sihi Kahi Chandru,0.6
Shobaraj,0.6
Arghya Basu Roy,0.6
Riyaz Khan,0.652
Yash,1.891
Meghana Raj,1.284
Bhavana,0.6
Shwetha Srivastav,0.6
Srinagar Kitty,0.6
RJ Rachana,0.6
Upendra,0.785
Srishanthi,0.6
G V Shivanand,0.6
Upasane Seetharam,0.6
Sriimurali,0.6
Chaya Singh,0.98
Vasishta N. Simha,1.166
Urvashi Rautela,1.4
Prakash Raj,2.372
Sithara,0.692
