name,popularity
Biju Menon,0.98
Prithviraj Sukumaran,0.84
Anil Nedumangad,0.612
Gowry Nandha,0.6
Anna Reshma Rajan,0.6
Sabumon Abdusamad,0.6
Anu Mohan,0.6
Shaju Sreedhar,0.6
Dhanya Ananya,0.6
Mohanlal,2.334
Arbaaz Khan,0.6
Anoop Menon,1.128
Sarjano Khalid,0.6
Honey Rose,0.6
Mirna Menon,0.6
Vishnu Unnikrishnan,0.694
Siddique,0.6
Gaadha,0.6
Irshad Ali,1.38
Tini Tom,0.716
Devan,1.03
Janardhanan,0.6
Dinesh Panicker,0.6
John Vijay,0.6
Abu Salim,0.6
Asif Basra,0.6
Chetan Hansraj,0.6
Nirmal Palazhi,1.38
Mukundan,0.6
Raveena Ravi,0.982
Meena,1.855
Asha Sarath,1.38
Kalabhavan Shajon,0.6
Ansiba Hassan,0.6
Esther Anil,1.4
Roshan Basheer,1.012
Neeraj Madhav,0.84
Aneesh G Menon,0.6
Kunchan,0.6
Kozhikode Narayanan Nair,0.6
Baiju V K,0.6
P Sreekumar,0.6
Shobha Mohan,0.668
Kalabhavan Haneef,0.6
Mela Raghu,1.646
Koottickal Jayachandran,0.6
Nisha Sarangh,1.012
Pradeep Chandran,0.648
Kalabhavan Rahman,0.6
Tovino Thomas,0.699
Mamta Mohandas,1.4
Reba Monica John,1.094
Renji Panicker,1.67
Mohan Sharma,0.6
Saiju Kurup,1.094
Prathap Pothan,1.4
Anwar Shereef,0.791
Rony David Raj,0.828
Ramu,0.6
Dhanesh Anand,0.6
Basil Joseph,0.6
Devi Ajith,0.6
Punya Elizabeth Bose,0.6
Biju Sopanam,0.6
Valsala Menon,0.6
Hareesh Perumanna,1.321
Vishnu Govind,0.6
Prajod Kalabhavan,0.6
Hareesh Pengan,0.6
Anna Ben,0.6
Roshan Mathew,0.6
Sreenath Bhasi,1.216
Sudhi Koppa,0.6
Tanvi Ram,0.6
James Eliya,0.6
Musthafa,0.656
Sudheesh,0.6
India Jarvis,0.6
Joju George,0.997
Sidhartha Siva,0.6
Maala Parvathi,0.6
Pauly Valsan,1.166
Raghavan,0.6
Mamitha Baiju,0.608
Muthumani Somasundaran,0.6
Dylan O'Brien,6.815
Jessica Henwick,8.275
Michael Rooker,4.431
Dan Ewing,1.286
Ariana Greenblatt,3.921
Ellen Hollman,2.113
Tre Hale,0.996
Pacharo Mzembe,1.417
Senie Priti,1.15
Amali Golden,1.162
Te Kohe Tuhaka,1.4
Tasneem Roc,1.792
Thomas Campbell,0.6
Joel Pierce,0.694
Melanie Zanetti,3.298
Bruce Spence,5.382
Hazel Phillips,0.6
Miriama Smith,0.6
Andrew Buchanan,0.728
Tandi Wright,0.746
Damien Garvey,1.091
Julia Johnson,0.6
Ariu Lang Sio,0.6
Donnie Baxter,0.6
Helen Howard,0.6
Larry Cedar,2.599
Tonia Renee Hammerich,0.6
Keiichi Enomoto,0.6
Nivin Pauly,1.96
Nayanthara,2.391
Durga Krishna,0.6
Aju Varghese,0.98
Sreenivasan,0.62
Mallika Sukumaran,0.828
Dhanya Balakrishna,0.6
Sunder Ramu,0.773
Seetha,1.566
Bhagath Manuel,0.6
Deepak Parambol,0.6
Vismaya,0.6
Vaiyapuri,1.38
Rajendran,1.116
Prajin Padmanabhan,1.052
Vinay Forrt,1.62
Arun Kurian,0.6
Anumol,1.38
Srindaa,1.619
Santhy Balachandran,0.6
Alencier Ley Lopez,0.788
Madhupal,1.012
Sunil Sukhada,0.828
Shiny Sarah,0.6
Mammootty,1.128
Rajkiran,1.708
Baiju Santhosh,0.855
Arjun Nandhakumar,0.6
Arthana Binu,0.6
Fahadh Faasil,2.023
Nazriya Nazim,1.039
Dileesh Pothan,1.4
Soubin Shahir,3.838
Chemban Vinod Jose,0.693
Vinayakan,0.6
Jinu Joseph,0.6
Aswathi Menon,0.694
Arjun Ashokan,0.6
Dharmajan Bolgatty,0.6
Arushi Mudgal,0.6
Unnimaya Prasad,0.6
Suresh Gopi,2.211
Shobana,1.4
Dulquer Salmaan,2.127
Kalyani Priyadarshan,0.98
Urvashi,0.608
KPAC Lalitha,0.943
Lalu Alex,0.631
Sarvajith Santosh Sivan,0.6
Major Ravi,0.6
Siju Wilson,1.186
Rahul Rajasekharan,0.6
Meera Krishnan,0.6
Wafa Khadeeja Rahman,0.6
Sreeja Ravi,0.6
Lal,0.6
Binu Pappu,1.089
Trissur Elsy,0.6
Adinad Sasi,0.6
Shane Nigam,0.84
Mathew Thomas,0.652
Ramesh Thilak,0.716
Grace Antony,0.682
Sheela Rajkumar,0.765
Jasmine Mètivier,0.6
Riya Saira,1.4
Ambika Rao,0.6
Sooraj Pops,0.6
Baiju Johnson,0.694
Ajith Moorkooth,0.6
Ansal Palluruthy,0.6
Kunchacko Boban,2.301
Sharaf U Dheen,0.6
Divya Gopinath,0.6
Remya Nambeesan,0.675
Indrans,0.828
Harikrishnan,0.6
Abhiram Radhakrishnan,0.6
Assim Jamal,0.6
Jaffer Idukki,1.534
Amina Nijam,0.6
Jaise Jose,0.6
Sadiq,0.6
Nandana Varma,0.6
Sudheer Sufi,0.6
Arun,1.22
Majeed Edavanakad,0.6
Zhinz Shan,0.6
Rajan Pootharakkal,0.6
Santhosh Laxman,0.6
Nazreen Nazar,0.6
Gilu Joseph,0.6
Siyona,0.6
Nikhila Vimal,1.215
Sanjana Dipu,0.6
Shashank Arora,0.98
Sujith Sankar,0.6
Sobhita Dhulipala,0.692
Harish Khanna,1.338
Melissa Raju Thomas,0.6
Vipin Sharma,0.709
Jai Sampath,1.4
Vijayaraghavan,0.703
Nedumudi Venu,1.509
Salim Kumar,0.6
Suraj Venjaramoodu,2.167
Charan Raj,0.652
Anusree Nair,1.4
Shamna Kasim,1.4
Jagapati Babu,0.63
Mahima Nambiar,0.98
Ashish Vidhyarthi,2.528
Atul Kulkarni,1.388
Ramesh Pisharody,1.4
Bala,0.6
Bijukuttan,0.6
Manikuttan,1.553
Vinaya Prasad,0.6
Sunny Leone,1.279
Jo Martin,0.6
T'Nia Miller,1.968
Mary Nyambura,0.6
Malcolm Atobrah,0.6
Elizabeth Brace,0.6
Deborah Colphon,0.6
Paulette Harris-German,0.6
Premila Puri,0.6
Mark Redguard,0.6
Rizwan Shebani,0.6
Shante Stephenson,0.6
Trevor A. Toussaint,0.6
Shine Tom Chacko,0.6
Lukman Lukku,2.226
Bhagwan Tiwari,0.6
Jacob Gregory,0.6
Gokulan,0.6
Abhiram Poduval,1.4
Omkar Das Manikpuri,0.6
Chien Ho Liao,0.6
Easwari Rao,0.6
Asif Ali,1.4
Ahamed Shaheen,0.6
Dhaneesh Balan,0.6
Parvathy Thiruvothu,0.6
Revathi,0.6
Rima Kallingal,0.84
Indrajith Sukumaran,0.84
Poornima Indrajith,0.6
Shebin Benson,0.6
Rajamani,0.6
Rahman,1.4
Madonna Sebastian,0.619
Darshana Rajendran,0.6
Sajitha Madathil,1.286
Savithri Sreedharan,1.322
Leona Lishoy,1.4
Ann Saleem,0.6
Vettukili Prakash,0.6
Sreedevi Unni,0.6
Zeenath,0.6
Jolly Chirayath,0.6
Kottayam Ramesh,0.743
Sarasa Balussery,0.6
Nilambur Ayisha,0.6
Shani Prabhakaran,0.6
Abhilash Mohan,0.6
Mia George,0.98
Deepti Sati,0.6
Adish Praveen,0.6
Nandhu,0.694
Suresh Krishna,0.84
Shivaji Guruvayoor,0.728
Vijayakumar,0.6
Kalabhavan Navas,0.98
Sohan Seenulal,0.6
Boban Alummoodan,0.6
Innocent,1.4
Idavela Babu,0.648
Mafia Sasi,2.183
Unni Mukundan,1.4
Navani Devanand,0.6
J. D. Chakravarthi,0.6
Shanthi Krishna,0.6
Manjima Mohan,0.631
Jayaprakash,0.6
Sudev Nair,0.929
Amal Shah,0.94
Babu Antony,0.6
Ashokan,0.98
Kishore,0.98
Anjali Aneesh Upasana,0.6
Vishnu Premkumar,0.6
Balaji Sarma,0.6
Sijoy Varghese,0.6
Govind Krishna,0.6
Anarkali Marikar,0.6
Samyuktha Menon,0.6
Prem Prakash,0.6
Rajani Murali,0.6
Preetha Pradeep,0.6
Sreeram Ramachandran,0.6
Mathew Arun,0.6
Kay Kay Menon,0.6
Ajay Mathew,0.6
Anil Murali,0.6
Olivia DeJonge,1.966
Alex Neustaedter,3.239
William Fichtner,3.117
Annabelle Dexter-Jones,1.303
Anna Baryshnikov,1.106
David H. Holmes,0.788
Nicholas Gorham,0.6
Emma Kikue,0.6
Eric T. Miller,0.6
Chelsea Sheets,0.828
Dileep,0.6
Priya Anand,1.4
