name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Super Deluxe,ta,"['Comedy','Crime','Drama','Thriller']",29-03-2019,176,A,250000000,268400000,Average,"['Vijay Sethupathi', 'Fahadh Faasil', 'Samantha Akkineni', 'Ramya Krishnan', 'Gayathrie Shankar', 'Bagavathi Perumal', 'Manushyaputhiran', 'Ashwanth Ashokkumar', 'Vijay Ram', 'Noble K. James', 'Jayanth', 'Mirnalini Ravi', 'Kavin Jay Babu', 'Abdool Lee']","['Yuvan Shankar Raja', 'Arun Seenu', 'Tapas Nayak', 'M. Kumaraguruparan']","['Mysskin', 'Thiagarajan Kumararaja']","['Thiagarajan Kumararaja', 'Nalan Kumarasamy', 'Neelan K. Shekar']","['S. D. Ezhilmathy', 'Swathi Raghuraaman']",new_subtitles/Super Deluxe/Super Deluxe.srt,
Bigil,ta,"['Drama','Sport','Action']",25-10-2019,178,UA,1800000000,2942000000,Super Hit,"['Vijay', 'Nayanthara', 'Jackie Shroff', 'Kathir', 'Vivek', 'Daniel Balaji', 'Anandaraj', 'Yogi Babu', 'Amritha Aiyer', 'Indhuja Ravichandran', 'Reba Monica John', 'Varsha Bollamma', 'Indraja Shankar', 'Arjan Bajwa', 'Devadarshini', 'Soundara Raja', 'Rohini', 'G. Gnanasambandam', 'Rama', 'I. M. Vijayan', 'Boxer Dheena', 'Manobala', 'Anish Kuruvilla', 'T.M. Karthik', 'George Mariyan', 'Sahithya Jagannathan', 'Abi Saravanan', 'Arun Alexander']","['A. R. Rahman', 'Tapas Nayak', 'Chinmayi Sripaada', 'Shashaa Tirupati']",['Atlee'],"['Atlee', 'Archana Kalpathi', 'Ramana Girivasan', 'Vivek']","['Kalpathi S Aghoram', 'Kalpathi S Ganesh', 'Kalpathi S Suresh']",new_subtitles/Bigil/Bigil.srt,
Kaithi,ta,"['Action','Thriller']",25-10-2019,146,UA,250000000,1068000000,Blockbuster,"['Karthi', 'Narain', 'KPY Dheena', 'George Mariyan', 'Ramana', 'Harish Uthaman', 'Hareesh Peradi', 'Krishnamoorthy', 'Amzath Khan', 'Mahanadhi Sankar', 'Vatsan', 'Arjun Das', 'Arun Alexander', 'Monicka Siva', 'Kanna Ravi', 'Pugazh']","['Sam C S', 'L. V. Revanth']",['Lokesh Kanagaraj'],"['Pon Parthiban', 'Lokesh Kanagaraj']","['S. R. Prakashbabu', 'S. R. Prabhu', 'Aravendraj Baskaran', 'Tiruppur Vivek']",new_subtitles/Kaithi/Kaithi.srt,
Petromax,ta,"['Comedy','Horror']",11-10-2019,128,UA,100000000,60000000,Flop,"['Tamanna Bhatia', 'Kaali Venkat', 'Munishkanth', 'Sathyan Sivakumar', 'Yogi Babu', 'Prem', 'Mime Gopi', 'K. S. G. Venkatesh', 'Livingston', 'Vaibhav Reddy', 'TSK']",['M. Ghibran'],"['Mahi V. Raghav', 'Rohin Venkatesan']","['Rohin Venkatesan', 'Anuradha']",['Vinoth Kumar'],new_subtitles/Petromax/Petromax.srt,
Asuran,ta,"['Drama','Action']",04-10-2019,139,UA,300000000,615000000,Blockbuster,"['Dhanush', 'Manju Warrier', 'Ken Karunas', 'Pasupathy Masilamani', 'Prakash Raj', 'Ammu Abhirami', 'Adukalam Naren', 'Pawan', 'Bala Hasan', 'Nithish Veera', 'Sentrayan', 'Munnar Ramesh']","['G. V. Prakash Kumar', 'Chinmayi Sripaada', 'Teejay', 'Velmurugan']",['Vetrimaaran'],"['Manimaran', 'Poomani', 'Suka']","['S. Thanu', 'S P Chokkalingam']",new_subtitles/Asuran/Asuran.srt,
Kaappaan,ta,"['Action','Thriller']",20-09-2019,163,UA,750000000,946000000,Hit,"['Suriya', 'Mohanlal', 'Arya', 'Sayesha Saigal', 'Samuthirakani', 'Boman Irani', 'Shamna Kasim', 'Prem', 'Chirag Jani', 'Uma Padmanabhan', 'Sujatha Sivakumar', 'Thalaivasal Vijay', 'Nagineedu Vellanki']","['Harris Jayaraj', 'Jonita Gandhi', 'Javed Ali', 'Nikhita Gandhi', 'Kharesma Ravichandran', 'Darshana KT', 'Leslie Lewis']",['K. V. Anand'],"['K. V. Anand', 'Pattukottai Prabhakar', 'Vairamuthu', 'Kabilan Vairamuthu', 'Kabilan']","['Subaskaran Allirajah', 'Kavino Nagulendren']",new_subtitles/Kaappaan/Kaappaan.srt,
Nerkonda Paarvai,ta,"['Action','Drama','Thriller']",08-08-2019,157,UA,500000000,1267000000,Blockbuster,"['Ajith Kumar', 'Shraddha Srinath', 'Abhirami Venkatachalam', 'Andrea Tariang', 'Ashwin Rao Pallakki', 'Rangaraj Pandey', 'Arjun Chidambaram', 'Priyadarshini Rajkumar', 'Delhi Ganesh', 'Sujith Sankar', 'Vidya Balan', 'Kalki Koechlin']",['Yuvan Shankar Raja'],"['Shoojit Sircar', 'H. Vinoth']","['H. Vinoth', 'N. Sakthivel']","['Boney Kapoor', 'S P Chokkalingam', 'P. Jairaj', 'S. Ganesan', 'R. Anbazhagan', 'E. Suresh Nambiraj']",new_subtitles/Nerkonda Paarvai/Nerkonda Paarvai.srt,
Kadaram Kondan,ta,"['Action','Thriller','Crime']",19-07-2019,114,UA,400000000,212000000,Flop,"['Vikram', 'Abi Hassan', 'Akshara Haasan', 'Lena', 'Cherry Mardia', 'Sayaji Shinde', 'Vikas Shrivastav', 'Joy Badlani', 'Puravalan', 'Jasmine Kaar', 'Siddhartha Shankar', 'Jawahar', 'Raja Ravindra']","['M. Ghibran', 'Shabir', 'Sid Sriram']","['Rajesh M. Selva', 'Santhosh Selvaraj']",['Viveka'],[],new_subtitles/Kadaram Kondan/Kadaram Kondan.srt,
NGK,ta,"['Drama','Action']",31-05-2019,148,UA,750000000,872500000,Hit,"['Suriya', 'Rakul Preet Singh', 'Sai Pallavi', 'Ilavarasu', 'Bala Singh', 'Devaraj', 'Ponvannan', 'Rajkumar', 'Nizhalgal Ravi', 'Uma Padmanabhan', 'Vela Ramamoorthy', 'Thalaivasal Vijay']","['Yuvan Shankar Raja', 'Jithin Raj', 'Shreya Ghoshal', 'K. G. Ranjith', 'Sid Sriram']","['Selvaraghavan', 'Vignesh Shivan']","['Vairamuthu', 'Kabilan']","['S. R. Prabhu', 'Kabilan Chellaiah', 'S. R. Prakash Babu', 'Aravendraj Baskaran']",new_subtitles/NGK/NGK.srt,
Kanchana 3,ta,"['Action','Comedy','Horror']",19-04-2019,166,UA,400000000,1302000000,Blockbuster,"['Raghava Lawrence', 'Vedhika', 'Nikki Tamboli', 'Oviya Helen', 'Kovai Sarala', 'Kabir Duhan Singh', 'Nedumudi Venu', 'Manobala', 'Soori', 'Sriman', 'Devadarshini', 'Delhi Ganesh', 'Tarun Arora', 'Aathma Patrick', 'Anupama Kumar']","['S. Thaman', 'Saravedi Saran', 'Neha Venugopal', 'Diwakar', 'Jesse Samuel', 'Renjith Unni']",['Raghava Lawrence'],['Madhan Karky'],['Kalanithi Maran'],new_subtitles/Kanchana 3/Kanchana 3.srt,
