name,popularity
Vijay Sethupathi,2.017
Fahadh Faasil,2.207
Samantha Akkineni,1.708
Ramya Krishnan,1.542
Gayathrie Shankar,0.6
Bagavathi Perumal,0.6
Manushyaputhiran,0.6
Ashwanth Ashokkumar,0.98
Vijay Ram,0.6
Noble K. James,0.6
Jayanth,0.6
Mirnalini Ravi,0.6
Kavin Jay Babu,0.6
Abdool Lee,0.6
Vijay,3.273
Nayanthara,1.517
Jackie Shroff,0.833
Kathir,1.01
Vivek,0.6
Daniel Balaji,1.389
Anandaraj,0.73
Yogi Babu,1.652
Amritha Aiyer,0.6
Indhuja Ravichandran,0.728
Reba Monica John,1.128
Varsha Bollamma,0.98
Indraja Shankar,0.6
Arjan Bajwa,0.6
Devadarshini,1.4
Soundara Raja,0.6
Rohini,1.052
G. Gnanasambandam,1.4
Rama,1.96
I. M. Vijayan,0.6
Boxer Dheena,1.4
Manobala,1.4
Anish Kuruvilla,2.624
T.M. Karthik,0.895
George Mariyan,0.612
Sahithya Jagannathan,1.38
Abi Saravanan,0.6
Arun Alexander,0.6
Karthi,0.6
Narain,0.6
KPY Dheena,0.6
Ramana,0.6
Harish Uthaman,0.6
Hareesh Peradi,1.4
Krishnamoorthy,0.828
Amzath Khan,0.678
Mahanadhi Sankar,1.11
Vatsan,1.4
Arjun Das,0.6
Monicka Siva,0.6
Kanna Ravi,0.6
Pugazh,0.6
Tamanna Bhatia,2.412
Kaali Venkat,0.6
Munishkanth,1.125
Sathyan Sivakumar,2.351
Prem,0.6
Mime Gopi,0.6
K. S. G. Venkatesh,0.6
Livingston,0.6
Vaibhav Reddy,0.6
TSK,0.6
Dhanush,1.61
Manju Warrier,0.6
Ken Karunas,0.6
Pasupathy Masilamani,2.123
Prakash Raj,1.391
Ammu Abhirami,0.6
Adukalam Naren,0.6
Pawan,0.6
Bala Hasan,0.6
Nithish Veera,0.6
Sentrayan,1.094
Munnar Ramesh,0.6
Suriya,1.436
Mohanlal,2.3
Arya,1.4
Sayesha Saigal,0.6
Samuthirakani,0.6
Boman Irani,1.02
Shamna Kasim,1.96
Chirag Jani,0.6
Uma Padmanabhan,0.694
Sujatha Sivakumar,0.6
Thalaivasal Vijay,1.052
Nagineedu Vellanki,0.98
Ajith Kumar,1.4
Shraddha Srinath,1.4
Abhirami Venkatachalam,1.841
Andrea Tariang,0.6
Ashwin Rao Pallakki,0.6
Rangaraj Pandey,0.6
Arjun Chidambaram,0.6
Priyadarshini Rajkumar,0.6
Delhi Ganesh,0.6
Sujith Sankar,1.38
Vidya Balan,0.83
Kalki Koechlin,2.15
Vikram,0.995
Abi Hassan,0.6
Akshara Haasan,0.6
Lena,0.6
Cherry Mardia,1.4
