name,popularity
Vishnu Manchu,0.6
Revathi,0.6
Kota Srinivasa Rao,0.6
Surya Bhagawan Das,0.98
Brahmanandam,1.243
Navdeep,0.6
Tejaswi Madivada,0.98
Madhu Shalini,1.4
Naveen Chandra,0.6
Rahul Ravindran,0.6
Lavanya Tripathi,0.6
Nani,1.123
Nithya Menen,0.604
Sneha Ullal,1.4
Ashish Vidhyarthi,2.528
Thagubothu Ramesh,1.4
Pragathi,0.6
Chaitanya Krishna,0.6
Praveen,1.052
Dhanraj,0.98
N.T. Rama Rao Jr.,2.066
Nayanthara,2.391
M. S. Narayana,0.6
Sheela Kaur,0.997
Mahesh Manjrekar,0.94
Nassar,0.946
Martin Landau,3.151
Judy Parfitt,1.907
Kenny Doughty,1.63
Nolan Hemmings,0.6
Danny Webb,3.304
Christopher Fulford,0.949
Steven Mackintosh,1.717
Jake Wood,0.63
Richard Bremmer,0.83
Nithiin,1.215
Kajal Agarwal,2.313
Mahesh Babu,1.219
Amrita Rao,0.6
Ravi Prakash,1.299
Sunil Varma,0.639
Subbaraju,0.6
Venu Madhav,0.6
Malaika Arora Khan,1.094
Ajay,1.4
Murali Sharma,0.6
Rajiv Kanakala,0.6
Pawan Kalyan,1.114
Asin Thottumkal,0.6
Sandhya,0.828
Siva Balaji,0.6
Gayatri Bhargavi,0.6
Charmy Kaur,1.943
Jagapati Babu,0.63
Shashank,0.6
Harshavardhan,0.6
Narsing Yadav,0.6
Pooja Bharti,0.6
Pavan Malhotra,0.6
Tarzan,0.6
Sana,0.6
Prabhas,1.62
Aarthi Agarwal,0.6
Ramya Krishnan,2.57
Raja,0.6
Kamalinee Mukherjee,0.6
Anish Kuruvilla,1.874
Satya Krishnan,0.84
Rana Daggubati,0.95
Sathyaraj,0.62
Anushka Shetty,1.96
Tamanna Bhatia,1.723
Prudhviraj,0.652
Rohini,0.84
Ashrita Vemuganti,0.766
Tanikella Bharani,0.716
Bharani Shankar,0.6
Kalpalatha,0.6
Prakash Raj,1.971
Ayesha Shiva,0.6
Sayaji Shinde,0.694
Brahmaji,0.84
Dharmavarupu Subramanyam,1.128
Bharath Reddy,0.6
Rajeev Mehta,0.6
Raza Murad,0.6
Khan Jahangir Khan,0.6
Akash Puri Jagannadh,0.6
Bandla Ganesh,0.6
Manchu Manoj,0.6
Sheena Shahabadi,0.6
Shriya Saran,1.4
Bhanupriya,0.98
Mumaith Khan,1.024
Kamal Kamaraju,0.6
Venkatesh,0.6
Meena,1.855
Nadhiya,1.4
Esther Anil,1.4
Saptagiri,1.473
Ravi Kale,1.109
Naresh,0.6
Venkateswara Rao Paruchuri,0.6
Roshan Basheer,1.012
Kruthika Jayakumar,0.6
Chalapathi Rao,0.6
Chitram Seenu,0.608
Uttej,0.84
Annapoorna,1.38
Sameer Hasan,0.6
Naga Chaitanya Akkineni,0.6
Manel Soler,0.6
Srikanth,0.749
Sameksha Singh,0.63
Eijaz Khan,0.6
Rahul Dev,0.982
Mukesh Rishi,0.84
Junaid Sheikh,0.6
Aruna Shields,0.98
Shraddha Das,0.932
Prabhu Ganesan,0.631
Charandeep,0.652
Chandramohan,0.746
Tulasi,0.694
Ahuti Prasad,0.6
Vamsi Krishna,0.6
Prabhas Sreenu,1.178
Allu Arjun,1.621
Hansika Motwani,0.94
Pradeep Ram Singh Rawat,1.38
