name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Bahubali 2 - The Conclusion,hi,"['Action', 'Drama']",27-04-2017,167,UA,1950000000,8016120000,All Time Blockbuster,"['Prabhas', 'Rana Daggubati', 'Sathyaraj', 'Anushka Shetty', 'Nassar', 'Ramya Krishnan', 'Subbaraju', 'Tamanna Bhatia', 'Prudhviraj', 'Rohini', 'Ashrita Vemuganti', 'Tanikella Bharani', 'Bharani Shankar', 'Kalpalatha']",['M.M. Keeravaani'],"['S.S. Rajamouli', 'K Raghavendra Rao', 'Ashwin Gangaraju', 'Shiva Kumar BVR']","['Vijayendra Prasad', 'Rahul Koda', 'Manoj Muntashir']","['Prasad Devineni', 'Shobu Yarlagadda', 'Iliya Sotirov', 'Sri Valli M M']",/Subtitle/Bahubali 2 - The Conclusion/Bahubali 2 - The Conclusion.srt,
Gadar - Ek Prem Katha,hi,"['Action', 'Drama', 'Romance']",15-06-2001,170,UA,190000000,1331250000,All Time Blockbuster,"['Sunny Deol', 'Ameesha Patel', 'Amrish Puri', 'Lillete Dubey', 'Vivek Shauq', 'Utkarsh Sharma', 'Suresh Oberoi', 'Madhu Malti', 'Tony Mirrcandani', 'Mushtaq Khan', 'Madhumalti Kapoor']",[],['Anil Sharma'],['Shaktimaan Talwar'],[],/Subtitle/Gadar - Ek Prem Katha/Gadar - Ek Prem Katha.srt,
Dilwale Dulhania Le Jayenge,hi,"['Drama', 'Romance']",20-10-1995,189,U,40000000,1031700000,All Time Blockbuster,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Anupam Kher', 'Satish Shah', 'Farida Jalal', 'Achala Sachdev', 'Himani Shivpuri', 'Pooja Ruparel', 'Mandira Bedi', 'Uday Chopra', 'Parmeet Sethi', 'Hemlata Deepak', 'Lalit Tiwari', 'Baby Raashi', 'Baby Nupur', 'Shanker Iyer', 'Rajesh Bhatija', 'Govind Khatri', 'Mansoor Merchant', 'Mohit Kumar', 'Damyanti Puri', 'Surendra Rahi']","['Jatin Pandit', 'Asha Bhosle', 'Lalit Pandit', 'Anand Bakshi', 'Udit Narayan', 'Kumar Sanu', 'Lata Mangeshkar', 'Arunkumar Bose', 'Ajay Trivedi']","['Yash Chopra', 'Aditya Chopra', 'Manmohan Singh']","['Javed Siddiqui', 'Pamela Chopra']","['Aditya Chopra', 'Karan Johar', 'Mahen Vakil', 'Balakrishnan Iyer']",/Subtitle/Dilwale Dulhania Le Jayenge/Dilwale Dulhania Le Jayenge.srt,
Raja Hindustani,hi,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance']",15-11-1996,177,U,57500000,763425000,All Time Blockbuster,"['Aamir Khan', 'Karisma Kapoor', 'Johnny Lever', 'Suresh Oberoi', 'Archana Puran Singh', 'Navneet Nishan', 'Kunal Khemu', 'Mohnish Behl', 'Rajwinder Deol', 'Pramod Moutho', 'Tiku Talsania', 'Farida Jalal']","['Shravan Kumar Rathod', 'Nusrat Fateh Ali Khan', 'Nadeem Saifi']","['Dharmesh Darshan', 'Bunty Soorma']","['Robin Bhatt', 'Dharmesh Darshan', 'Javed Siddiqui']","['Ali Morani', 'Karim Morani']",/Subtitle/Raja Hindustani/Raja Hindustani.srt,
Dangal,hi,"['Action', 'Biography', 'Drama', 'Sport']",21-12-2016,161,U,1320000000,7024750000,All Time Blockbuster,"['Aamir Khan', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Sakshi Tanwar', 'Aparshakti Khurana', 'Zaira Wasim', 'Suhani Bhatnagar', 'Girish Kulkarni', 'Vivan Bhatena', 'Ritwik Sahore', 'Ravi Aneja', 'Anurag Arora', 'Mahesh Balraj', 'Anmol Charan', 'Karamveer Choudhary', 'Ishika Gagneja', 'Badrul Islam', 'Jagbir', 'Olamilekan Akanbi Jason', 'Sumit Khanna', 'Meenu Prajapati', 'Ansh Rathore', 'Shishir Sharma', 'Gurpreet Toti']","['Pritam Chakraborty', 'Daler Mehndi', 'Shajith Koyeri', 'Arijit Singh', 'Jonita Gandhi', 'Neha Kakkar', 'Raftaar', 'Sarwar Khan', 'Jyoti Nooran', 'Sultana Nooran', 'Sartaz Khan Barna', 'R. S. Rakthaksh', 'V. Harini', 'K. Haripriya', 'R. Snjeevi']",['Nitesh Tiwari'],"['Nitesh Tiwari', 'Amitabh Bhattacharya', 'Piyush Gupta', 'Shreyas Jain', 'Nikhil Mehrotra', 'Vanamali', 'Rajesh A. Malarvannan.']","['Kiran Rao', 'Siddharth Roy Kapur', 'Alan McAlex', 'Navmeet Singh', 'Nishith Dadhich', 'Amrita Pandey', 'Vishesh Agrawal']",/Subtitle/Dangal/Dangal.srt,
Border,hi,"['Action', 'Drama', 'History', 'Thriller', 'War']",13-07-1997,176,UA,100000000,655700000,All Time Blockbuster,"['Sunny Deol', 'Jackie Shroff', 'Sunil Shetty', 'Akshaye Khanna', 'Puneet Issar', 'Kulbhushan Kharbanda', 'Pooja Bhatt', 'Tabu', 'Sharbani Mukherji', 'Sudesh Berry', 'Rakhee Gulzar']","['Anu Malik', 'Adesh Shrivastava']",['J. P. Dutta'],['J. P. Dutta'],[],/Subtitle/Border/Border.srt,
Kuch Kuch Hota Hai,hi,"['Comedy', 'Drama', 'Musical', 'Romance']",16-10-1998,177,U,100000000,1067375000,All Time Blockbuster,"['Shah Rukh Khan', 'Kajol', 'Rani Mukerji', 'Salman Khan', 'Farida Jalal', 'Archana Puran Singh', 'Himani Shivpuri', 'Johnny Lever', 'Anupam Kher', 'Reema Lagoo', 'Sana Saeed', 'Parzaan Dastur', 'Neelam Kothari']","['Jatin Pandit', 'Uday Inamati', 'Lalit Pandit', 'Vikram Biswas', 'Anup Dev', 'Sajjan Choudhary', 'Karnail Singh', 'Daman Sood', 'Kashinath Kashyap', 'Rajendra Gupta', 'Adil Ali', 'Avinash Oak', 'Subash Gawde', 'Nilesh Oza']","['Nikkhil Advani', 'Karan Johar', 'Tarun Mansukhani', 'Anjali Bhushan Nugyal', 'Mamta Murthy']",[],"['Karan Johar', 'Yash Johar', 'Hiroo Johar']",/Subtitle/Kuch Kuch Hota Hai/Kuch Kuch Hota Hai.srt,
Bajrangi Bhaijaan,hi,"['Action', 'Adventure', 'Comedy', 'Drama']",17-07-2015,163,UA,1250000000,6039940000,All Time Blockbuster,"['Salman Khan', 'Kareena Kapoor Khan', 'Harshaali Malthotra', 'Nawazuddin Siddiqui', 'Rajesh Sharma', 'Sharat Saxena', 'Om Puri', 'Meher Vij', 'Mohommed Ali Shah', 'Mir Sarwar', 'Alka Kaushal', 'Harssh A. Singh', 'Sanjeev Jaiswal', 'Shivam Roy Prabhakar']","['Pritam Chakraborty', 'Julius Packiam', 'Atif Aslam', 'Stephen Gomes', 'Lochan Kanvinde', 'Shadab Rayeen', 'Debajit Changmai', 'Rhitwik Raj Pathak', 'Boloy Kumar Doloi', 'Rahul Karpe', 'Mayur Mochemadkar', 'Vicky Arolkar', 'Sandeep Madhkholkar', 'Shijil Thennoor', 'Gulam Hassan Sheikh', 'Hanif Mohammad Sayed', 'Badshah']","['Kabir Khan', 'Tegveer Singh', 'Archit Kumar', 'Karishma Kohli', 'Manish Mann Indoria', 'Moin Shaikh', 'Prarthana Goswami']","['Vijayendra Prasad', 'Parveez Sheikh', 'Kausar Munir', 'Baljeet Singh Marwah', 'Asad Hussain']","['Sunil Lulla', 'Mukesh Chhabra', 'Navmeet Singh', 'Rockline Venkatesh', 'Hemant Kumar Dixit', 'Himanshu Nanda', 'Amar Butala', 'Garima Mehta', 'Rajessh Bhat', 'Kunal R Khanna', 'Pankaj Pandya']",/Subtitle/Bajrangi Bhaijaan/Bajrangi Bhaijaan.srt,
PK,hi,"['Comedy', 'Drama', 'Musical', 'Sci-Fi']",18-12-2014,153,UA,1220000000,6160362500,All Time Blockbuster,"['Aamir Khan', 'Anushka Sharma', 'Sushant Singh Rajput', 'Boman Irani', 'Sanjay Dutt', 'Parikshat Sahni', 'Saurabh Shukla', 'Reema Debnath', 'Rukhsar Rehman', 'Sachin Parikh', 'Brijendra Kala', 'Rajeev Gupta', 'Ram Sethi', 'Rohitash Gaud', 'Ranbir Kapoor', 'Sai Gundewar', 'Karim Hajee', 'Maanvi Gagroo', 'Anil Mange', 'Amardeep Jha', 'Plabita Borthakur']","['Shankar Mahadevan', 'Shantanu Moitra', 'Sonu Nigam', 'Atul Gogavale', 'Shaan', 'Resul Pookutty', 'Ankit Tiwari', 'Rahat Fateh Ali Khan', 'Suraj Jagan', 'Shreya Ghoshal', 'Ajay Gogavale', 'Nihar Ranjan Samal', 'Shaan Mukherjee', 'Abhishruti Bezbaruah']","['Rajkumar Hirani', 'Lakshmipriya Devi', 'Karan Narvekar']","['Rajkumar Hirani', 'Vidhu Vinod Chopra', 'Abhijat Joshi']","['Menaka Nagarajan', 'Siddharth Roy Kapur', 'Mukesh Chhabra', 'Mandar Gosavi', 'Sachin Utekar', 'Chanpreet Singh']",/Subtitle/PK/PK.srt,
3 Idiots,hi,"['Comedy', 'Drama']",23-12-2009,170,UA,770000000,3491035000,All Time Blockbuster,"['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Ali Fazal', 'Mona Singh', 'Javed Jaffrey', 'Parikshat Sahni', 'Amardeep Jha', 'Jayant Kripalani', 'Arun Bali', 'Achyut Potdar', 'Aakash Dabhade', 'Akhil Mishra', 'Pitobash Tripathy', 'Pooja Goswami', 'R.S. Kodange', 'Annapurna Kaul', 'Dharmendra Bhurji', 'Harvinder Singh', 'Rahul Kumar', 'Mukund Bhatt', 'Chaitali Bose', 'Olivier Lafont', 'Meghna Bhalla', 'Praful Kulkarni', 'Komal Jha', 'Rohitash Gaud', 'Freny Bhagat', 'Jigmet Dorjey', 'Tsanwal Namgyal', 'Malvika Singh', 'Supriya Shukla', 'Pundit Prayag Raj', 'Sitaram Sharma', 'Saurabh Agnihotri', 'Nishi Singh', 'Suhas Vaidya', 'Lata Kurdikar', 'Keshav Rae', 'Insia Lacewalla', 'Shankar Sachdev', 'Farida Dadi', 'Shoaib Ahmed', 'Dushyant Wagh', 'A.S. Duggal', 'Dilshad Edibam', 'Rajeev Ravindranathan', 'Hitesh Tak', 'Rajendra Patwardhan', 'Madhav Vaze', 'Raghunathan', 'Vaidyanathan', 'Kumar Veer Singh', 'Shailja Dhar', 'Dinesh Kumar', 'Apul Jaisinghani', 'Trilok Sadhwani', 'Sonu', 'Jalil Parkar', 'Debashish Naha', 'Michael Joseph', 'Smriti', 'Sanjay Sood', 'Dayal Sharma', 'Elihud George', 'Sarvanna', 'Tanveer Ahmed']","['Shantanu Moitra', 'Sonu Nigam', 'Shaan', 'Bishwadeep Dipak Chatterjee', 'Sanjay Chaturvedi', 'Anup Dev', 'Varun Visoi', 'Subir Kumar Das', 'Daniel B George', 'Atul Raninga', 'Suraj Jagan', 'Shreya Ghoshal', 'Sajjan Choudhary', 'Karnail Singh', 'Gyana Mishra', 'Nihar Ranjan Samal', 'Sanjay Wandrekar', 'Reddy Bharat', 'Shashi Kasare', 'Rajesh Kodadi', 'Sachin K. Sanghvi', 'Sandeep Thakur']","['Rajkumar Hirani', 'Vinay Waikul', 'Rajiv Verma', 'Karan Narvekar', 'Gaurav Chandelya', 'Maheep Dhillon', 'Karan Tejpal']","['Sheena Parikh', 'Rajkumar Hirani', 'Javed Akhtar', 'Vidhu Vinod Chopra', 'Abhijat Joshi', 'Chetan Bhagat', 'Swanand Kirkire', 'Mrunmayee Lagoo']","['Menaka Nagarajan', 'Vir Chopra', 'Navmeet Singh', 'Sunil Bohra', 'Nalini Rathnam', 'Bharat Jha', 'Sachin Utekar', 'Girdhar Swami', 'Rohan Mapuskar', 'Parshuram Mane', 'Kirit Parekh', 'Ramakant Dubey', 'Ravi Sarin', 'Aman Mahajan', 'Sanjiv Kishinchandani', 'Ravi Barnabas', 'Atishay Dayal', 'Salim Qureshi', 'Sarvesh Singh', 'Bhavin Thakkar', 'Dileep Desai']",/Subtitle/3 Idiots/3 Idiots.srt,
