name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Kavaludaari,kn,"['Crime', 'Drama', 'Mystery', 'Thriller']",12-04-2019,143,UA,28000000,68622828,Hit,"['Rishi', 'Anant Nag', 'Achyuth Kumar', 'Roshni Prakash', 'Suman Ranganathan', 'Sidhaartha Maadhyamika', 'Sampath Maitreya', 'Siri Ravikumar']",['Charan Raj'],['Hemanth M. Rao'],['Hemanth M. Rao'],['Ashwini Puneeth Rajkumar'],https://subdl.com/s/subtitle/sd309317/kavaludaari,"the-numbers.com/movie/Kavaludaari-(India)(2019)#tab=international
https://www.1films.in/2019/04/kavaludaari-day-wise-box-office-collection-report.html"
Kiss,kn,"['Drama', 'Romance']",27-09-2019,164,UA,60000000,300000000,Hit,"['Viraat', 'Sree Leela', 'Sadhu Kokila', 'Chikkanna']",['V. Harikrishna'],['A. P. Arjun'],[],[],https://addic7ed.pro/movie-subtitles/kiss-2019-30736,"https://www.newskarnataka.com/sandalwood/kannada-movie-kiss-completes-50-days-at-box-office
https://feedtel.com/"
Yajamana,kn,['Action'],01-03-2019,164,UA,180000000,500000000,Blockbuster,[],[],[],[],[],https://subdl.com/s/subtitle/sd224286/yajamana/english,https://www.filmibeat.com/kannada/news/2019/yajamana-day-14-box-office-collection-darshan-continues-to-rule-in-karnataka-slow-run-in-the-us/articlecontent-pf284212-283815.html
Bell Bottom,kn,"['Comedy', 'Thriller']",15-02-2019,130,UA,30000000,130000000,Hit,"['Rishab Shetty', 'Hariprriya', 'Achyuth Kumar', 'Pramod Shetty', 'Sujay Shastri', 'Dinesh Mangalore']","['Vijay Prakash', 'B. Ajaneesh Loknath']",['Jayathirtha'],['Dayanand T K'],['Santosh Kumar'],https://www.subtitleplanet.com/movie-subtitles/bell-bottom-english-subtitles/,https://www.flixjini.in/movie/bell-bottom
Odeya,kn,"['Action', 'Drama']",12-12-2019,164,UA,400000000,700000000,Hit,"['Darshan Thoogudeepa', 'Sanah Thimmayyah', 'Ashwini Gowda', 'Chikkanna', 'Chithra Shenoy', 'Devaraj', 'Malathishri', 'P. Ravi Shankar', 'Pankaj Narayan', 'Sadhu Kokila', 'Sharath Lohitashwa', 'Yashas Surya']",[],['M.D. Shridhar'],['M.D. Shridhar'],[],https://www.opensubtitles.org/en/subtitles/8074259/odeya-en,https://www.fridayshow.in/odeya-movie-2019/
Geetha,kn,"['Drama', 'Romance']",27-09-2019,148,UA,30000000,200000000,Super Hit,"['Ganesh', 'Prayaga Martin', 'Shanvi Shrivastava', 'Parvathy Arun', 'Devaraj', 'Sudharani']",[],[],[],[],https://www.opensubtitles.org/en/subtitles/7944912/geetha-en,https://en.wikipedia.org/wiki/Geetha_(2019_film)
Avane Srimannarayana,kn,"['Action', 'Adventure', 'Comedy', 'Fantasy']",27-12-2019,174,UA,250000000,745000000,Blockbuster,"['Rakshit Shetty', 'Shanvi Shrivastava', 'Pramod Shetty', 'Balaji Manohar', 'Achyuth Kumar', 'Madhusudhan Rao', 'Rishab Shetty', 'Raaghu Raamanakoppa']","['Vijay Prakash', 'Arun S Mani', 'Charan Raj', 'P. C. Vishnu', 'M. R. Rajakrishnan', 'B. Ajaneesh Loknath', 'Anurag Kulkarni', 'Raju Albert', 'Chethan Naik', 'Romlin Jose Thomas', 'Ananya Bhat', 'Gokul Dev']","['Sachin Ravi', 'Chandrajith Belliappa', 'B S Premdeep', 'Ganesh Hegde', 'Jairam H N', 'Karthik Vattikuti', 'Ranganath R V', 'V Kiran', 'M Bangarappa']","['Abhijit Mahesh', 'Dhananjay Ranjan', 'Anirudh Kodgi', 'Nagarjun Sharma']","['Pushkara Mallikarjunaiah', 'D S Sudarshan', 'H. K. Prakash']",http://www.elsubtitle.com/title/tt7998242/,https://www.sacnilk.com/articles/entertainment/box_office/Avane_Srimannarayana_ASN_Box_Office_Collection_Day_Wise_Worldwide?hl=en
Ayushman Bhava,kn,['Romance'],01-11-2019,145,UA,200000000,220000000,Hit,"['Amala Paul', 'Charan Tej', 'Andrea Jeremiah', 'Mukhtar Khan', 'Surya Bhagawan Das']",[],['Charan Tej'],[],[],https://australiapopulation.com/ayushman-bhava-subtitles/,https://top10bhojpuri.blogspot.com/2019/11/Ayushman-Bhava-Budget-Hit-or-Flop-Box-Office-Collection.html
Pailwaan,kn,"['Action', 'Drama', 'Sport']",12-09-2019,166,UA,450000000,530000000,Hit,"['Sudeep', 'Aakanksha Singh', 'Sunil Shetty', 'Kabir Duhan Singh', 'Sushant Singh', 'Avinash', 'Sharath Lohitashwa']","['Kailash Kher', 'Vijay Prakash', 'Arjun Janya', 'Armaan Malik', 'Nithin Lukose', 'Arun Seenu', 'Tapas Nayak', 'Sanjith Hegde', 'Dev Negi', 'Vyasaraj']",['S. Krishna'],"['Sudamsu', 'Ramajogayya Sastry', 'Hanuman Choudary', 'V. Nagendra Prasad', 'Pradyumna Narahalli', 'Madhoo']",['Swapna Krishna'],,https://www.bollywoodfever.co.in/pailwaan-box-office-collection-day-wise-and-worldwide/
Natasaarvabhowma,kn,['Action'],07-02-2019,157,UA,200000000,500000000,Hit,"['Puneeth Rajkumar', 'B. Saroja Devi', 'Anupama Parameswaran', 'Rachita Ram', 'Chikkanna', 'Sadhu Kokila', 'Prakash Belawadi', 'P. Ravi Shankar', 'Achyuth Kumar', 'Avinash']","['D. Imman', 'Vijay Prakash', 'Jithin Raj', 'Anthony Daasan', 'Shreya Ghoshal', 'Sanjith Hegde', 'Vandana Srinivasan']",['Pavan Wadeyar'],[],"['Rockline Venkatesh', 'A Mahesh Reddy']",https://subdl.com/s/subtitle/sd225091/natasaarvabhowma,https://www.sacnilk.com/articles/entertainment/box_office/Natasaarvabhowma_Box_Office_Collection_Day_Wise_Worldwide?hl=en
Pushpaka Vimana,kn,"['Comedy', 'Drama', 'Family']",06-01-2017,142,NA,30000000,66797760,Hit,"['Ramesh Aravind', 'Yuvina Parthavi', 'Rachita Ram', 'Juhi Chawla', 'Ravi Kale', 'Rockline Sudhakar', 'K.S. Sridhar', 'Mandeep Roy']",['Charan Raj'],"['Lee Hwan-kyung', 'S. Ravindranath']","['S. Ravindranath', 'A. R. Vikhyath', 'K. N. Guruprasad']",[],https://yifysubtitles.me/subtitle-download/529302,"http://movieboxofficecollection.com/kannada-box-office-collection-sandalwood-movies/
https://www.youtube.com/watch?v=R-t92xnRz1k"
Bhajarangi ,kn,"['Action', 'Fantasy']",12-12-2013,172,A,90000000,355000000,Hit,"['Shivaraj Kumar', 'Aindrita Ray', 'Bullet Prakash', 'Sadhu Kokila', 'Tabla Nani', 'Girija Lokesh', 'Honnavalli Krishna', 'Shivaram', 'Biradar', 'Umesh', 'Saurav Lokesh', 'Rukmini Vijayakumar']",['Arjun Janya'],['A. Harsha'],['A. Harsha'],"['Jack Manju', 'Nataraj Gowda']",http://cinemasubtitles.com/subtitles/kannada-movie-cinema/Bhajarangi-(2013)/a9c57e7c-b251-4634-a984-f9f07e9894cb,"https://www.filmibeat.com/kannada/news/2014/bhajarangi-25-days-box-office-report-collection-128929.html
https://en.wikipedia.org/wiki/Bhajarangi#Production"
Adyaksha,kn,"['Comedy', 'Drama', 'Romance']",15-08-2014,147,NA,50000000,180000000,Super Hit,"['Sharan', 'Heeba Patel', 'Chikkanna', 'P. Ravi Shankar', 'Asmita Sood', 'Ramesh Bhat', 'Malavika Avinash']",['Arjun Janya'],"['Ponram', 'Nanda Kishore']","['Ponram', 'Nanda Kishore']",[],http://cinemasubtitles.com/subtitles/kannada-movie-cinema/Adyaksha-(2014)/318139a7-a768-4d14-a0f6-dbd23d399ea4,https://www.facebook.com/boxofficekannada/photos/adyaksha-movie-collections-at-the/875431262481080/
Apthamitra,kn,"['Drama', 'Horror', 'Thriller']",27-08-2004,100,NA,70000000,200000000,Blockbuster,"['Vishnuvardhan', 'Ramesh Aravind', 'Dwarakish', 'Prema', 'Soundarya', 'Satyajith']",['Gurukiran'],['P. Vasu'],[],[],http://cinemasubtitles.com/subtitles/kannada-movie-cinema/Apthamitra-(2004)/229cd843-cba9-4644-94fe-a846931da745,https://en.wikipedia.org/wiki/Apthamitra
Addhuri,kn,['Romance'],15-06-2012,131,NA,40000000,160000000,Blockbuster,[],[],[],[],[],http://cinemasubtitles.com/subtitles/kannada-movie-cinema/Addhuri-(2012)/d0e743b5-0a2e-4ef6-9b5e-bb7e6a3fd389,https://en.wikipedia.org/wiki/Addhuri
