name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Ayyappanum Koshiyum,ma,"['Action','Drama','Thriller']",07-02-2020,176,U,50000000,520000000,Super Hit,"['Biju Menon', 'Prithviraj Sukumaran', 'Anil Nedumangad', 'Gowry Nandha', 'Anna Reshma Rajan', 'Sabumon Abdusamad', 'Anu Mohan', 'Shaju Sreedhar', 'Dhanya Ananya']","['Jakes Bejoy', 'Vishnu Govind', 'Sree Sankar', 'Raj Mohan', 'Vajjiravel Varun', 'Kdk Shankar', 'Shanmugam Mani']","['Sachy', 'Jayan Nambiar', 'Renith Elamadu']","['Ranjith', 'Sachy']","['Anand Rajendran', 'Agnivesh Ranjith', 'P M Sasidharan']",subtitles/Ayyappanum Koshiyum/Ayyappanum Koshiyum.srt,
Big Brother,ma,"['Action','Thriller','Drama']",16-01-2020,165,UA,320000000,65000000,Flop,"['Mohanlal', 'Arbaaz Khan', 'Anoop Menon', 'Sarjano Khalid', 'Honey Rose', 'Mirna Menon', 'Vishnu Unnikrishnan', 'Siddique', 'Gaadha', 'Irshad Ali', 'Tini Tom', 'Devan', 'Janardhanan', 'Dinesh Panicker', 'John Vijay', 'Abu Salim', 'Asif Basra', 'Chetan Hansraj', 'Nirmal Palazhi', 'Mukundan', 'Raveena Ravi']","['Amit Trivedi', 'M. G. Sreekumar', 'Deepak Dev', 'Santhosh Varma', 'Gowry Lekshmi', 'Rajesh P M']","['Siddique', 'Shamsudeen P A']",['Rafeeq Ahammed'],"['Noble Jacob', 'Jenso Jose', 'Shihab Vennala', 'Vaisakha Rajan', 'Manu Maliackal', 'Philipose K. Joseph']",subtitles/Big Brother/Big Brother.srt,
Drishyam,ma,"['Drama','Thriller','Crime']",19-12-2013,164,UA,50000000,750000000,Blockbuster,"['Mohanlal', 'Meena', 'Asha Sarath', 'Kalabhavan Shajon', 'Ansiba Hassan', 'Esther Anil', 'Siddique', 'Roshan Basheer', 'Neeraj Madhav', 'Aneesh G Menon', 'Irshad Ali', 'Kunchan', 'Kozhikode Narayanan Nair', 'Baiju V K', 'P Sreekumar', 'Shobha Mohan', 'Kalabhavan Haneef', 'Mela Raghu', 'Koottickal Jayachandran', 'Nisha Sarangh', 'Pradeep Chandran', 'Kalabhavan Rahman']","['Anil Johnson', 'Vijay Yesudas', 'Vinu Thomas', 'Anoop Thilak', 'Najim Arshad']","['Jeethu Joseph', 'Ajith V Thomas', 'Manoj Peyad', 'Sudheesh Ramachandran', 'Vivek Aryan', 'Shajahan Poochal', 'Sony Kulakkada']","['Jeethu Joseph', 'Murali']","['Antony Perumbavoor', 'Sasidharan Kandanissery', 'Visvananth']",subtitles/Drishyam/Drishyam.srt,
Forensic,ma,"['Crime','Mystery','Thriller']",28-02-2020,134,UA,40000000,50000000,Hit,"['Tovino Thomas', 'Mamta Mohandas', 'Reba Monica John', 'Renji Panicker', 'Mohan Sharma', 'Saiju Kurup', 'Prathap Pothan', 'Anwar Shereef', 'Rony David Raj', 'Ramu', 'Dhanesh Anand']","['Jakes Bejoy', 'Vishnu Govind', 'Sree Sankar', 'M. R. Rajakrishnan']","['Akhil Paul', 'Jayan C. Krishna', 'Anas Khan']",['Akhil Paul'],"['Joby George Thadathil', 'Navis Xaviour', 'Siju Mathew']",subtitles/Forensic/Forensic.srt,
Gauthamante Radham,ma,['Comedy'],31-01-2020,128,U,30000000,50000000,Hit,"['Neeraj Madhav', 'Basil Joseph', 'Renji Panicker', 'Devi Ajith', 'Punya Elizabeth Bose', 'Biju Sopanam', 'Valsala Menon', 'Hareesh Perumanna', 'Vishnu Govind', 'Prajod Kalabhavan', 'Hareesh Pengan']",[],"['Basil Joseph', 'Anand Menon']",['Anand Menon'],[],subtitles/Gauthamante Radham/Gauthamante Radham.srt,
Kappela,ma,"['Romance','Comedy']",06-03-2020,113,U,40000000,80000000,Hit,"['Anna Ben', 'Roshan Mathew', 'Sreenath Bhasi', 'Sudhi Koppa', 'Tanvi Ram', 'James Eliya', 'Musthafa', 'Nisha Sarangh', 'Sudheesh']",['Sushin Shyam'],['Musthafa'],['Musthafa'],['Vishnu Venu'],subtitles/Kappela/Kappela.srt,
Kilometers and Kilometers,ma,"['Comedy','Drama','Adventure']",12-03-2020,129,U,85000000,130000000,Hit,"['Tovino Thomas', 'India Jarvis', 'Joju George', 'Sidhartha Siva', 'Basil Joseph', 'Sudheesh', 'Maala Parvathi', 'Pauly Valsan', 'Raghavan', 'Mamitha Baiju', 'Muthumani Somasundaran']",['Gopi Sundar'],['Jeo Baby'],"['Deepu Pradeep', 'Jeo Baby']",[],subtitles/Kilometers and Kilometers/Kilometers and Kilometers.srt,
Love,ma,"['Drama','Thriller']",29-01-2021,91,UA,25000000,52000000,Hit,"[""Dylan O'Brien"", 'Jessica Henwick', 'Michael Rooker', 'Dan Ewing', 'Ariana Greenblatt', 'Ellen Hollman', 'Tre Hale', 'Pacharo Mzembe', 'Senie Priti', 'Amali Golden', 'Te Kohe Tuhaka', 'Tasneem Roc', 'Thomas Campbell', 'Joel Pierce', 'Melanie Zanetti', 'Bruce Spence', 'Hazel Phillips', 'Miriama Smith', 'Andrew Buchanan', 'Tandi Wright', 'Damien Garvey', 'Julia Johnson', 'Ariu Lang Sio', 'Donnie Baxter', 'Helen Howard', 'Larry Cedar', 'Tonia Renee Hammerich', 'Keiichi Enomoto']","['Marco Beltrami', 'Marcus Trumpp']","['Shawn Levy', 'Michael Matthews']","['Brian Duffield', 'Matthew Robinson']","['Joseph Middleton', 'John H. Starke', 'Jennifer Teves', 'Janelle Scuderi', 'Dan Cohen', 'Becca Edelman']",subtitles/Love/Love.srt,
Love Action Drama,ma,"['Romance','Comedy']",05-09-2019,146,UA,80000000,280000000,Super Hit,"['Nivin Pauly', 'Nayanthara', 'Durga Krishna', 'Aju Varghese', 'Basil Joseph', 'Sreenivasan', 'Mallika Sukumaran', 'Biju Sopanam', 'Dhanya Balakrishna', 'Renji Panicker', 'Sunder Ramu', 'Seetha', 'Bhagath Manuel', 'Deepak Parambol', 'Vismaya', 'Vaiyapuri', 'Rajendran', 'Prajin Padmanabhan', 'Raveena Ravi']",['Shaan Rahman'],['Dhyan Sreenivasan'],[],['Visakh Subramaniam'],subtitles/Love Action Drama/Love Action Drama.srt,
Paapam Cheyyathavar Kalleriyatte,ma,['Comedy'],21-02-2020,117,UA,15000000,12900000,Flop,"['Vinay Forrt', 'Arun Kurian', 'Anil Nedumangad', 'Anumol', 'Srindaa', 'Santhy Balachandran', 'Alencier Ley Lopez', 'Tini Tom', 'James Eliya', 'Madhupal', 'Sunil Sukhada', 'Shiny Sarah']",['Prashant Pillai'],['Sambhu Purushothaman'],['Sambhu Purushothaman'],[],subtitles/Paapam Cheyyathavar Kalleriyatte/Paapam Cheyyathavar Kalleriyatte.srt,
