name,language,genre,release_date,runtime,cbfc_rating,budget,box_office_collection_worldwide,verdict,actors,music,director,writer,producer,subtitle_path,data_path
Anukshanam,te,"['Crime', 'Thriller']",13-09-2014,82,A,60000000,70635000,Average,"['Vishnu Manchu', 'Revathi', 'Kota Srinivasa Rao', 'Surya Bhagawan Das', 'Brahmanandam', 'Navdeep', 'Tejaswi Madivada', 'Madhu Shalini']",[],['Ram Gopal Varma'],[],[],http://cinemasubtitles.com/subtitles/telugu-movie-cinema/Anukshanam-(2014)/e2037010-63b8-47bf-8f86-d3930475c17b,"https://boxofficecollection.in/box-office-report/anukshanam-3rd-day-total-collection-monday-income-report-6077
https://www.filmibeat.com/telugu/news/2014/power-anukshanam-3-days-collection-at-usa-box-office-159464.html#:~:text=The%20movie%20showed%20decent%20growth,Office%20in%20their%20life%20time.
https://indianexpress.com/article/entertainment/regional/vishnu-manchu-elated-with-response-to-anukshanam/"
Andala Rakshasi,te,['Romance'],10-08-2012,139,UA,20000000,100000000,Hit,"['Naveen Chandra', 'Rahul Ravindran', 'Lavanya Tripathi']",['Radhan'],['Hanu Raghavapudi'],['Hanu Raghavapudi'],[],https://www.bollynook.com/en/bollywood-movie-subtitles/6538/andala-rakshasi-telugu-film/,https://www.youtube.com/watch?v=VY1RMWUOHUk
Ala Modalaindi,te,"['Comedy', 'Drama', 'Romance']",21-01-2011,136,UA,40000000,150000000,Hit,"['Nani', 'Nithya Menen', 'Sneha Ullal', 'Ashish Vidhyarthi', 'Thagubothu Ramesh', 'Pragathi', 'Chaitanya Krishna', 'Praveen', 'Dhanraj']",['Kalyani Malik'],['B. V. Nandini Reddy'],['Lakshmi Bhoopal'],[],http://cinemasubtitles.com/subtitles/telugu-movie-cinema/Ala-Modalaindi-(2011)/5b3035f6-f03d-468f-8070-5354f67bc18d,https://en.wikipedia.org/wiki/Ala_Modalaindi
Adhurs,te,"['Action', 'Comedy', 'Thriller']",13-01-2010,150,UA,260000000,300000000,Average,"['N.T. Rama Rao Jr.', 'Nayanthara', 'Brahmanandam', 'M. S. Narayana', 'Sheela Kaur', 'Mahesh Manjrekar', 'Ashish Vidhyarthi', 'Nassar']",[],['V. V. Vinayak'],['Kona Venkat'],[],https://www.opensubtitles.org/en/subtitles/3693189/adhurs-en,https://en.wikipedia.org/wiki/Adhurs
Arya,te,"['Action','Drama','Romance']",07-05-2004,120,U,46000000,180000000,Blockbuster,"['Martin Landau', 'Judy Parfitt', 'Kenny Doughty', 'Nolan Hemmings', 'Danny Webb', 'Christopher Fulford', 'Steven Mackintosh', 'Jake Wood', 'Richard Bremmer']",[],['John Daly'],"['John Daly', 'Kendrew Lascelles']",['John Daly'],https://subdl.com/s/subtitle/sd51918/arya,https://www.youtube.com/watch?v=NAA84BXbsls
Aatadista,te,"['Action', 'Comedy', 'Drama', 'Romance']",20-03-2008,146,UA,80000000,30000000,Flop,"['Nithiin', 'Kajal Agarwal']",[],['A.S. Ravi Kumar Chowdary'],[],[],http://cinemasubtitles.com/subtitles/telugu-movie-cinema/Aatadista-(2008)/666868a3-f7cc-4802-b0ac-7054ae2070a3,https://www.youtube.com/watch?v=_VFqdDnk95g
Athidhi,te,['Action'],18-10-2007,300,A,200000000,200000000,Flop,"['Mahesh Babu', 'Amrita Rao', 'Brahmanandam', 'Nassar', 'Ravi Prakash', 'Ashish Vidhyarthi', 'Kota Srinivasa Rao', 'Sunil Varma', 'Subbaraju', 'Pragathi', 'Venu Madhav', 'Malaika Arora Khan', 'Ajay', 'Murali Sharma', 'Rajiv Kanakala']",[],['Surendra Reddy'],['Vakkantham Vamsi'],['Ronnie Screwvala'],http://www.elsubtitle.com/title/tt0954914/,https://www.youtube.com/watch?v=yerQus09P6s
Annavaram,te,"['Action', 'Drama']",29-12-2006,175,UA,160000000,200000000,Flop,"['Pawan Kalyan', 'Asin Thottumkal', 'Sandhya', 'Siva Balaji', 'Venu Madhav', 'Gayatri Bhargavi']",[],"['Perarasu', 'Bhimaneni Srinivasa Rao']",['Perarasu'],[],http://cinemasubtitles.com/subtitles/telugu-movie-cinema/Annavaram-(2006)/c4aadf7a-bf88-41dd-9f05-92c937195419,https://www.sbdbforums.com/post/balubangaramannavaram-collections-any-one-please-5984983
Anukokunda Oka Roju,te,"['Mystery', 'Thriller']",30-06-2005,145,U,30000000,8500000,Average,"['Charmy Kaur', 'Jagapati Babu', 'Shashank', 'Harshavardhan', 'Narsing Yadav', 'Pooja Bharti', 'Pavan Malhotra', 'Ravi Prakash', 'Tarzan', 'Sana']",['M.M. Keeravaani'],['Chandra Sekhar Yeleti'],['Chandra Sekhar Yeleti'],[],https://subdl.com/s/subtitle/sd57724/anukokunda-oka-roju,"http://www.bewarsetalk.net/BTArchives/messages/15434/45656.html
https://www.imdb.com/title/tt0473604/"
Andarivaadu,te,"['Action', 'Comedy', 'Drama']",03-06-2005,162,UA,150000000,130000000,Flop,[],[],[],[],[],http://cinemasubtitles.com/subtitles/telugu-movie-cinema/Andaravadu-(2005)/1911b934-1c09-4c79-8f4d-071153dee85b,http://www.buzzbasket.in/chiranjeevi-top-10-box-office-collections/
